id_pedido;produto;categoria;fornecedor;status;custo_unitario;quantidade;lead_time_dias;custo_frete
PED-1295;Polímero Industrial;Química;Sul Metais;Em trânsito;USD 112,72;397 unidades;14;R$ 433,61
PED-1296;Motor de Passo;Mecânica;Global Shipping;Entregue;USD 155,02;419 unidades;27;R$ 695,5
PED-1297;Polímero Industrial;Química;Sul Metais;Entregue;USD 130,28;180 unidades;11;R$ 447,97
PED-1298;Caixa Papelão;Embalagens;Amazonas Tech;Em trânsito;USD 238,72;160 unidades;37;R$ 856,33
PED-1299;Motor de Passo;Mecânica;Global Shipping;Em trânsito;USD 200,75;31 unidades;25;R$ 691,75
PED-1300;Polímero Industrial;Química;Sudeste Express;Em trânsito;USD 194,15;46 unidades;24;R$ 501,87
PED-1301;Resina Epoxi;Química;Amazonas Tech;Entregue;USD 199,03;263 unidades;44;R$ 868,33
PED-1302;Caixa Papelão;Embalagens;Delta Matérias-Primas;Atrasado;USD 177,15;254 unidades;14;R$ 581,81
PED-1303;Cabo de Cobre;Metalurgia;Delta Matérias-Primas;Em trânsito;USD 168,68;126 unidades;22;R$ 598,21
PED-1304;Motor de Passo;Mecânica;Sul Metais;Em trânsito;USD 151,53;164 unidades;13;R$ 486,66
PED-1305;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Entregue;USD 474,33;78 unidades;18;R$ 485,32
PED-1306;Cabo de Cobre;Metalurgia;Global Shipping;Entregue;USD 190,49;264 unidades;30;R$ 600,1
PED-1307;Resina Epoxi;Química;Bahia Peças;Em trânsito;USD 165,98;117 unidades;15;R$ 475,24
PED-1308;Chapa de Aço;Metalurgia;Global Shipping;Entregue;USD 192,34;360 unidades;27;R$ 686,41
PED-1309;Sensor Prototipo;Eletrônicos;Norte Logística;Entregue;USD 359,33;280 unidades;16;R$ 613,44
PED-1310;Chapa de Aço;Metalurgia;Amazonas Tech;Entregue;USD 293,61;489 unidades;36;R$ 878,66
PED-1311;Chapa de Aço;Metalurgia;Global Shipping;Entregue;USD 185,53;406 unidades;28;R$ 775,62
PED-1312;Motor de Passo;Mecânica;Sul Metais;Entregue;USD 157,64;172 unidades;10;R$ 484,41
PED-1313;Caixa Papelão;Embalagens;Sul Metais;Atrasado;USD 174,14;341 unidades;16;R$ 533,49
PED-1314;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Em trânsito;USD 444,57;330 unidades;20;R$ 609,04
PED-1315;Circuito Impresso;Eletrônicos;Amazonas Tech;Atrasado;USD 566,84;373 unidades;48;R$ 926,59
PED-1316;Motor de Passo;Mecânica;Norte Logística;Atrasado;USD 144,05;259 unidades;15;R$ 514,42
PED-1317;Válvula Hidráulica;Mecânica;Global Shipping;Em trânsito;USD 170,93;442 unidades;27;R$ 631,72
PED-1318;Polímero Industrial;Química;Delta Matérias-Primas;Entregue;USD 182,46;235 unidades;20;R$ 593,68
PED-1319;Válvula Hidráulica;Mecânica;LogTech Brasil;Em trânsito;USD 132,24;213 unidades;5;R$ 338,72
PED-1320;Polímero Industrial;Química;Global Shipping;Em trânsito;USD 167,65;411 unidades;25;R$ 721,52
PED-1321;Polímero Industrial;Química;Indústrias Alfa;Em trânsito;USD 131,08;93 unidades;13;R$ 476,32
PED-1322;Circuito Impresso;Eletrônicos;Norte Logística;Em trânsito;USD 403,82;371 unidades;10;R$ 487,15
PED-1323;Sensor Prototipo;Eletrônicos;Amazonas Tech;Atrasado;USD 556,87;26 unidades;32;R$ 874,99
PED-1324;Sensor Prototipo;Eletrônicos;LogTech Brasil;Entregue;USD 387,3;445 unidades;4;R$ 392,05
PED-1325;Motor de Passo;Mecânica;Bahia Peças;Em trânsito;USD 160,18;305 unidades;14;R$ 489,52
PED-1326;Motor de Passo;Mecânica;Nordeste Distribuidora;Entregue;USD 195,79;153 unidades;17;R$ 608,51
PED-1327;Sensor Prototipo;Eletrônicos;Amazonas Tech;Entregue;USD 581,92;445 unidades;38;R$ 867,17
PED-1328;Válvula Hidráulica;Mecânica;Sul Metais;Atrasado;USD 106,16;388 unidades;8;R$ 325,75
PED-1329;Caixa Papelão;Embalagens;Delta Matérias-Primas;Entregue;USD 169,09;334 unidades;13;R$ 559,4
PED-1330;Caixa Papelão;Embalagens;Amazonas Tech;Entregue;USD 166,04;279 unidades;39;R$ 936,13
PED-1331;Válvula Hidráulica;Mecânica;Bahia Peças;Entregue;USD 140,99;238 unidades;17;R$ 485,7
PED-1332;Válvula Hidráulica;Mecânica;Delta Matérias-Primas;Em trânsito;USD 140,26;95 unidades;18;R$ 542,34
PED-1333;Válvula Hidráulica;Mecânica;Amazonas Tech;Entregue;USD 251,91;89 unidades;52;R$ 859,12
PED-1334;Sensor Prototipo;Eletrônicos;Indústrias Alfa;Entregue;USD 404,07;95 unidades;13;R$ 609,61
PED-1335;Resina Epoxi;Química;Indústrias Alfa;Entregue;USD 146,22;415 unidades;18;R$ 583,42
PED-1336;Motor de Passo;Mecânica;Sudeste Express;Em trânsito;USD 157,07;458 unidades;11;R$ 478,89
PED-1337;Chapa de Aço;Metalurgia;Sudeste Express;Entregue;USD 169,94;232 unidades;16;R$ 566,08
PED-1338;Motor de Passo;Mecânica;Sul Metais;Entregue;USD 140,4;41 unidades;12;R$ 550,69
PED-1339;Polímero Industrial;Química;Bahia Peças;Entregue;USD 130,32;260 unidades;19;R$ 529,66
PED-1340;Motor de Passo;Mecânica;Indústrias Alfa;Entregue;USD 119,02;78 unidades;21;R$ 498,96
PED-1341;Motor de Passo;Mecânica;Indústrias Alfa;Entregue;USD 178,27;351 unidades;12;R$ 528,98
PED-1342;Resina Epoxi;Química;Nordeste Distribuidora;Entregue;USD 189,56;101 unidades;14;R$ 599,81
PED-1343;Chapa de Aço;Metalurgia;Delta Matérias-Primas;Atrasado;USD 191,7;326 unidades;19;R$ 525,65
PED-1344;Caixa Papelão;Embalagens;Delta Matérias-Primas;Entregue;USD 136,24;50 unidades;18;R$ 560,62
PED-1345;Válvula Hidráulica;Mecânica;LogTech Brasil;Em trânsito;USD 158,18;83 unidades;4;R$ 378,19
PED-1346;Circuito Impresso;Eletrônicos;Indústrias Alfa;Entregue;USD 400,69;304 unidades;16;R$ 472,2
PED-1347;Circuito Impresso;Eletrônicos;Sudeste Express;Atrasado;USD 393,35;36 unidades;18;R$ 572,49
PED-1348;Circuito Impresso;Eletrônicos;Global Shipping;Entregue;USD 480,67;311 unidades;19;R$ 690,61
PED-1349;Resina Epoxi;Química;Nordeste Distribuidora;Atrasado;USD 178,74;180 unidades;16;R$ 554,95
PED-1350;Resina Epoxi;Química;Bahia Peças;Em trânsito;USD 126,56;152 unidades;18;R$ 578,42
PED-1351;Válvula Hidráulica;Mecânica;LogTech Brasil;Entregue;USD 133,92;76 unidades;5;R$ 347,33
PED-1352;Resina Epoxi;Química;LogTech Brasil;Entregue;USD 98,87;427 unidades;6;R$ 376,32
PED-1353;Válvula Hidráulica;Mecânica;Bahia Peças;Entregue;USD 180,15;497 unidades;13;R$ 540,95
PED-1354;Resina Epoxi;Química;Sudeste Express;Atrasado;USD 140,3;456 unidades;21;R$ 591,0
PED-1355;Resina Epoxi;Química;Sul Metais;Entregue;USD 122,6;57 unidades;12;R$ 498,94
PED-1356;Cabo de Cobre;Metalurgia;Global Shipping;Entregue;USD 181,01;97 unidades;33;R$ 656,12
PED-1357;Válvula Hidráulica;Mecânica;Sul Metais;Atrasado;USD 167,51;125 unidades;10;R$ 496,15
PED-1358;Válvula Hidráulica;Mecânica;Indústrias Alfa;Em trânsito;USD 174,52;280 unidades;16;R$ 495,69
PED-1359;Caixa Papelão;Embalagens;Indústrias Alfa;Atrasado;USD 150,6;313 unidades;16;R$ 602,65
PED-1360;Resina Epoxi;Química;Sul Metais;Em trânsito;USD 136,76;393 unidades;12;R$ 490,41
PED-1361;Motor de Passo;Mecânica;Delta Matérias-Primas;Em trânsito;USD 148,93;417 unidades;15;R$ 583,23
PED-1362;Circuito Impresso;Eletrônicos;LogTech Brasil;Entregue;USD 404,35;337 unidades;5;R$ 368,86
PED-1363;Cabo de Cobre;Metalurgia;Norte Logística;Atrasado;USD 134,32;313 unidades;15;R$ 560,64
PED-1364;Resina Epoxi;Química;Indústrias Alfa;Entregue;USD 150,08;430 unidades;17;R$ 477,01
PED-1365;Cabo de Cobre;Metalurgia;Nordeste Distribuidora;Entregue;USD 159,23;103 unidades;16;R$ 561,26
PED-1366;Polímero Industrial;Química;Delta Matérias-Primas;Em trânsito;USD 149,58;91 unidades;15;R$ 577,4
PED-1367;Polímero Industrial;Química;Sul Metais;Entregue;USD 164,15;337 unidades;9;R$ 453,29
PED-1368;Circuito Impresso;Eletrônicos;Indústrias Alfa;Entregue;USD 398,38;164 unidades;11;R$ 476,98
PED-1369;Chapa de Aço;Metalurgia;Bahia Peças;Atrasado;USD 117,64;219 unidades;18;R$ 558,29
PED-1370;Resina Epoxi;Química;Bahia Peças;Entregue;USD 146,96;443 unidades;14;R$ 511,58
PED-1371;Circuito Impresso;Eletrônicos;Delta Matérias-Primas;Entregue;USD 436,26;376 unidades;16;R$ 590,45
PED-1372;Resina Epoxi;Química;LogTech Brasil;Em trânsito;USD 130,95;163 unidades;3;R$ 460,09
PED-1373;Motor de Passo;Mecânica;LogTech Brasil;Entregue;USD 142,13;180 unidades;4;R$ 359,52
PED-1374;Chapa de Aço;Metalurgia;Indústrias Alfa;Entregue;USD 165,62;318 unidades;17;R$ 525,4
PED-1375;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Entregue;USD 493,88;169 unidades;22;R$ 538,84
PED-1376;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Entregue;USD 427,46;203 unidades;23;R$ 571,37
PED-1377;Válvula Hidráulica;Mecânica;Delta Matérias-Primas;Atrasado;USD 160,82;46 unidades;22;R$ 533,63
PED-1378;Cabo de Cobre;Metalurgia;Amazonas Tech;Entregue;USD 215,07;339 unidades;36;R$ 796,78
PED-1379;Polímero Industrial;Química;Nordeste Distribuidora;Entregue;USD 158,89;476 unidades;17;R$ 670,17
PED-1380;Caixa Papelão;Embalagens;Indústrias Alfa;Em trânsito;USD 167,33;35 unidades;14;R$ 490,76
PED-1381;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Atrasado;USD 413,49;196 unidades;22;R$ 643,92
PED-1382;Sensor Prototipo;Eletrônicos;Sul Metais;Atrasado;USD 386,38;308 unidades;9;R$ 394,69
PED-1383;Cabo de Cobre;Metalurgia;Amazonas Tech;Em trânsito;USD 222,76;456 unidades;48;R$ 846,36
PED-1384;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Entregue;USD 489,92;109 unidades;16;R$ 670,63
PED-1385;Polímero Industrial;Química;Sudeste Express;Entregue;USD 143,91;192 unidades;19;R$ 532,7
PED-1386;Caixa Papelão;Embalagens;Sul Metais;Entregue;USD 159,78;409 unidades;10;R$ 548,03
PED-1387;Polímero Industrial;Química;Norte Logística;Em trânsito;USD 143,07;199 unidades;16;R$ 554,99
PED-1388;Válvula Hidráulica;Mecânica;Amazonas Tech;Em trânsito;USD 212,1;464 unidades;31;R$ 885,84
PED-1389;Motor de Passo;Mecânica;Sul Metais;Atrasado;USD 124,01;225 unidades;13;R$ 392,4
PED-1390;Circuito Impresso;Eletrônicos;LogTech Brasil;Entregue;USD 338,22;33 unidades;5;R$ 406,39
PED-1391;Sensor Prototipo;Eletrônicos;Norte Logística;Entregue;USD 403,45;323 unidades;17;R$ 512,09
PED-1392;Caixa Papelão;Embalagens;Sudeste Express;Entregue;USD 156,02;410 unidades;14;R$ 474,96
PED-1393;Polímero Industrial;Química;Global Shipping;Atrasado;USD 202,7;208 unidades;28;R$ 632,92
PED-1394;Motor de Passo;Mecânica;Sudeste Express;Atrasado;USD 115,73;71 unidades;11;R$ 565,87
PED-1395;Sensor Prototipo;Eletrônicos;Sul Metais;Atrasado;USD 358,16;214 unidades;12;R$ 441,8
PED-1396;Motor de Passo;Mecânica;Sul Metais;Em trânsito;USD 138,05;315 unidades;15;R$ 548,66
PED-1397;Sensor Prototipo;Eletrônicos;Amazonas Tech;Atrasado;USD 557,23;400 unidades;44;R$ 909,83
PED-1398;Caixa Papelão;Embalagens;Sudeste Express;Em trânsito;USD 157,48;436 unidades;14;R$ 516,51
PED-1399;Chapa de Aço;Metalurgia;Sul Metais;Em trânsito;USD 129,43;469 unidades;8;R$ 483,31
PED-1400;Resina Epoxi;Química;Global Shipping;Atrasado;USD 154,8;497 unidades;27;R$ 630,28
PED-1401;Válvula Hidráulica;Mecânica;Sul Metais;Entregue;USD 167,92;16 unidades;9;R$ 492,44
PED-1402;Chapa de Aço;Metalurgia;Sudeste Express;Em trânsito;USD 183,77;352 unidades;13;R$ 480,91
PED-1403;Cabo de Cobre;Metalurgia;Delta Matérias-Primas;Em trânsito;USD 177,98;176 unidades;14;R$ 584,11
PED-1404;Circuito Impresso;Eletrônicos;Sul Metais;Em trânsito;USD 344,5;356 unidades;13;R$ 529,74
PED-1405;Caixa Papelão;Embalagens;Bahia Peças;Em trânsito;USD 166,5;66 unidades;12;R$ 588,86
PED-1406;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Em trânsito;USD 411,9;350 unidades;16;R$ 587,89
PED-1407;Caixa Papelão;Embalagens;Global Shipping;Entregue;USD 159,53;193 unidades;24;R$ 693,17
PED-1408;Resina Epoxi;Química;Norte Logística;Em trânsito;USD 149,68;295 unidades;13;R$ 477,37
PED-1409;Cabo de Cobre;Metalurgia;Nordeste Distribuidora;Entregue;USD 164,17;265 unidades;20;R$ 586,1
PED-1410;Sensor Prototipo;Eletrônicos;Amazonas Tech;Em trânsito;USD 569,86;353 unidades;52;R$ 866,57
PED-1411;Circuito Impresso;Eletrônicos;Indústrias Alfa;Atrasado;USD 373,63;317 unidades;16;R$ 519,35
PED-1412;Válvula Hidráulica;Mecânica;LogTech Brasil;Entregue;USD 183,22;429 unidades;4;R$ 284,15
PED-1413;Chapa de Aço;Metalurgia;Norte Logística;Atrasado;USD 145,13;324 unidades;14;R$ 592,15
PED-1414;Polímero Industrial;Química;Sul Metais;Entregue;USD 128,15;12 unidades;8;R$ 442,99
PED-1415;Válvula Hidráulica;Mecânica;Norte Logística;Entregue;USD 135,72;340 unidades;17;R$ 516,69
PED-1416;Cabo de Cobre;Metalurgia;Amazonas Tech;Entregue;USD 198,33;453 unidades;34;R$ 835,63
PED-1417;Polímero Industrial;Química;Norte Logística;Entregue;USD 152,49;280 unidades;16;R$ 549,6
PED-1418;Válvula Hidráulica;Mecânica;LogTech Brasil;Em trânsito;USD 143,01;21 unidades;4;R$ 365,25
PED-1419;Motor de Passo;Mecânica;Amazonas Tech;Atrasado;USD 176,25;41 unidades;36;R$ 847,66
PED-1420;Cabo de Cobre;Metalurgia;Indústrias Alfa;Atrasado;USD 173,5;360 unidades;13;R$ 539,2
PED-1421;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Entregue;USD 514,66;370 unidades;20;R$ 660,63
PED-1422;Chapa de Aço;Metalurgia;LogTech Brasil;Entregue;USD 162,41;265 unidades;5;R$ 408,84
PED-1423;Circuito Impresso;Eletrônicos;Sul Metais;Entregue;USD 354,61;59 unidades;13;R$ 443,01
PED-1424;Resina Epoxi;Química;Indústrias Alfa;Entregue;USD 181,23;419 unidades;15;R$ 608,74
PED-1425;Chapa de Aço;Metalurgia;Norte Logística;Atrasado;USD 145,31;215 unidades;19;R$ 481,45
PED-1426;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Atrasado;USD 468,03;375 unidades;22;R$ 603,06
PED-1427;Circuito Impresso;Eletrônicos;Amazonas Tech;Em trânsito;USD 538,89;342 unidades;43;R$ 905,52
PED-1428;Chapa de Aço;Metalurgia;Amazonas Tech;Entregue;USD 246,01;469 unidades;26;R$ 872,43
PED-1429;Cabo de Cobre;Metalurgia;Sul Metais;Em trânsito;USD 129,72;226 unidades;7;R$ 452,39
PED-1430;Chapa de Aço;Metalurgia;Amazonas Tech;Atrasado;USD 235,91;292 unidades;37;R$ 943,7
PED-1431;Cabo de Cobre;Metalurgia;Delta Matérias-Primas;Entregue;USD 165,43;168 unidades;14;R$ 623,14
PED-1432;Resina Epoxi;Química;Global Shipping;Entregue;USD 204,47;362 unidades;31;R$ 716,74
PED-1433;Chapa de Aço;Metalurgia;Sul Metais;Entregue;USD 135,76;189 unidades;11;R$ 537,54
PED-1434;Resina Epoxi;Química;Delta Matérias-Primas;Entregue;USD 165,96;85 unidades;12;R$ 611,12
PED-1435;Sensor Prototipo;Eletrônicos;Sul Metais;Atrasado;USD 369,46;371 unidades;10;R$ 496,3
PED-1436;Resina Epoxi;Química;Sudeste Express;Atrasado;USD 192,48;16 unidades;14;R$ 533,73
PED-1437;Sensor Prototipo;Eletrônicos;Sul Metais;Entregue;USD 347,57;83 unidades;15;R$ 442,16
PED-1438;Cabo de Cobre;Metalurgia;Global Shipping;Em trânsito;USD 167,69;204 unidades;26;R$ 731,62
PED-1439;Polímero Industrial;Química;Global Shipping;Em trânsito;USD 174,25;316 unidades;23;R$ 770,76
PED-1440;Cabo de Cobre;Metalurgia;Delta Matérias-Primas;Atrasado;USD 149,06;29 unidades;18;R$ 578,37
PED-1441;Motor de Passo;Mecânica;Norte Logística;Entregue;USD 128,3;60 unidades;10;R$ 484,68
PED-1442;Motor de Passo;Mecânica;Indústrias Alfa;Em trânsito;USD 135,52;40 unidades;11;R$ 523,55
PED-1443;Polímero Industrial;Química;Sul Metais;Em trânsito;USD 145,02;71 unidades;11;R$ 431,01
PED-1444;Válvula Hidráulica;Mecânica;Bahia Peças;Atrasado;USD 129,86;386 unidades;14;R$ 504,12
PED-1445;Chapa de Aço;Metalurgia;Amazonas Tech;Entregue;USD 194,69;407 unidades;65;R$ 924,68
PED-1446;Polímero Industrial;Química;Amazonas Tech;Entregue;USD 176,23;332 unidades;38;R$ 949,46
PED-1447;Chapa de Aço;Metalurgia;Bahia Peças;Em trânsito;USD 115,33;479 unidades;12;R$ 547,48
PED-1448;Resina Epoxi;Química;Sudeste Express;Entregue;USD 157,76;84 unidades;12;R$ 495,65
PED-1449;Resina Epoxi;Química;Sul Metais;Atrasado;USD 121,98;325 unidades;12;R$ 400,6
PED-1450;Resina Epoxi;Química;Sudeste Express;Entregue;USD 160,33;473 unidades;16;R$ 524,45
PED-1451;Polímero Industrial;Química;LogTech Brasil;Entregue;USD 156,88;303 unidades;4;R$ 470,87
PED-1452;Resina Epoxi;Química;Nordeste Distribuidora;Em trânsito;USD 190,91;290 unidades;25;R$ 577,44
PED-1453;Motor de Passo;Mecânica;Sul Metais;Entregue;USD 160,04;333 unidades;10;R$ 558,71
PED-1454;Sensor Prototipo;Eletrônicos;Global Shipping;Atrasado;USD 445,33;99 unidades;28;R$ 652,06
PED-1455;Caixa Papelão;Embalagens;Global Shipping;Atrasado;USD 192,48;498 unidades;24;R$ 617,33
PED-1456;Chapa de Aço;Metalurgia;Nordeste Distribuidora;Entregue;USD 218,85;428 unidades;18;R$ 641,12
PED-1457;Polímero Industrial;Química;LogTech Brasil;Entregue;USD 114,2;463 unidades;5;R$ 417,1
PED-1458;Chapa de Aço;Metalurgia;Norte Logística;Em trânsito;USD 159,78;353 unidades;16;R$ 547,02
PED-1459;Chapa de Aço;Metalurgia;Sul Metais;Em trânsito;USD 125,35;248 unidades;12;R$ 528,56
PED-1460;Chapa de Aço;Metalurgia;Sudeste Express;Atrasado;USD 151,0;51 unidades;11;R$ 581,59
PED-1461;Caixa Papelão;Embalagens;Sudeste Express;Atrasado;USD 203,5;411 unidades;12;R$ 443,17
PED-1462;Cabo de Cobre;Metalurgia;LogTech Brasil;Entregue;USD 152,63;337 unidades;6;R$ 250,08
PED-1463;Motor de Passo;Mecânica;Sul Metais;Atrasado;USD 174,2;161 unidades;14;R$ 451,75
PED-1464;Motor de Passo;Mecânica;Delta Matérias-Primas;Entregue;USD 162,96;43 unidades;20;R$ 556,34
PED-1465;Chapa de Aço;Metalurgia;Amazonas Tech;Atrasado;USD 202,81;413 unidades;58;R$ 875,22
PED-1466;Motor de Passo;Mecânica;Delta Matérias-Primas;Entregue;USD 180,86;61 unidades;15;R$ 582,38
PED-1467;Sensor Prototipo;Eletrônicos;Indústrias Alfa;Em trânsito;USD 403,7;17 unidades;13;R$ 478,59
PED-1468;Sensor Prototipo;Eletrônicos;Global Shipping;Em trânsito;USD 447,17;449 unidades;30;R$ 610,28
PED-1469;Sensor Prototipo;Eletrônicos;Sudeste Express;Entregue;USD 393,89;264 unidades;16;R$ 412,15
PED-1470;Polímero Industrial;Química;Bahia Peças;Em trânsito;USD 147,81;151 unidades;14;R$ 509,51
PED-1471;Polímero Industrial;Química;Nordeste Distribuidora;Entregue;USD 143,18;81 unidades;18;R$ 597,67
PED-1472;Caixa Papelão;Embalagens;Delta Matérias-Primas;Entregue;USD 154,66;23 unidades;16;R$ 503,28
PED-1473;Motor de Passo;Mecânica;Sul Metais;Em trânsito;USD 135,52;149 unidades;18;R$ 557,84
PED-1474;Válvula Hidráulica;Mecânica;Norte Logística;Atrasado;USD 144,6;464 unidades;18;R$ 467,42
PED-1475;Circuito Impresso;Eletrônicos;Amazonas Tech;Em trânsito;USD 560,71;456 unidades;29;R$ 1015,52
PED-1476;Polímero Industrial;Química;Indústrias Alfa;Atrasado;USD 145,41;244 unidades;13;R$ 572,27
PED-1477;Chapa de Aço;Metalurgia;LogTech Brasil;Entregue;USD 140,31;17 unidades;5;R$ 441,45
PED-1478;Sensor Prototipo;Eletrônicos;Indústrias Alfa;Entregue;USD 379,99;217 unidades;16;R$ 561,73
PED-1479;Polímero Industrial;Química;Sul Metais;Atrasado;USD 133,59;163 unidades;11;R$ 508,35
PED-1480;Válvula Hidráulica;Mecânica;Sudeste Express;Entregue;USD 175,54;395 unidades;11;R$ 408,2
PED-1481;Caixa Papelão;Embalagens;Amazonas Tech;Atrasado;USD 218,82;290 unidades;41;R$ 859,82
PED-1482;Motor de Passo;Mecânica;Nordeste Distribuidora;Entregue;USD 155,4;101 unidades;16;R$ 633,31
PED-1483;Circuito Impresso;Eletrônicos;Amazonas Tech;Atrasado;USD 570,25;99 unidades;37;R$ 880,86
PED-1484;Circuito Impresso;Eletrônicos;Nordeste Distribuidora;Entregue;USD 471,44;16 unidades;17;R$ 612,76
PED-1485;Sensor Prototipo;Eletrônicos;LogTech Brasil;Atrasado;USD 388,15;347 unidades;5;R$ 371,33
PED-1486;Sensor Prototipo;Eletrônicos;Amazonas Tech;Em trânsito;USD 576,61;434 unidades;37;R$ 936,64
PED-1487;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Entregue;USD 454,92;19 unidades;19;R$ 652,57
PED-1488;Cabo de Cobre;Metalurgia;Sul Metais;Atrasado;USD 102,24;146 unidades;13;R$ 452,46
PED-1489;Circuito Impresso;Eletrônicos;Norte Logística;Entregue;USD 428,35;243 unidades;12;R$ 465,79
PED-1490;Cabo de Cobre;Metalurgia;LogTech Brasil;Em trânsito;USD 133,49;382 unidades;4;R$ 441,01
PED-1491;Resina Epoxi;Química;LogTech Brasil;Em trânsito;USD 130,02;453 unidades;5;R$ 336,86
PED-1492;Motor de Passo;Mecânica;Delta Matérias-Primas;Entregue;USD 184,23;298 unidades;21;R$ 570,87
PED-1493;Polímero Industrial;Química;Global Shipping;Atrasado;USD 145,1;157 unidades;25;R$ 789,97
PED-1494;Polímero Industrial;Química;Indústrias Alfa;Em trânsito;USD 140,49;135 unidades;14;R$ 462,54
PED-1495;Polímero Industrial;Química;Global Shipping;Atrasado;USD 174,1;491 unidades;31;R$ 605,96
PED-1496;Válvula Hidráulica;Mecânica;Global Shipping;Em trânsito;USD 149,42;395 unidades;29;R$ 628,18
PED-1497;Chapa de Aço;Metalurgia;Global Shipping;Entregue;USD 211,34;182 unidades;36;R$ 715,84
PED-1498;Chapa de Aço;Metalurgia;Nordeste Distribuidora;Entregue;USD 167,35;51 unidades;20;R$ 596,27
PED-1499;Sensor Prototipo;Eletrônicos;Bahia Peças;Em trânsito;USD 408,28;202 unidades;16;R$ 625,05
PED-1500;Circuito Impresso;Eletrônicos;Sul Metais;Entregue;USD 338,64;63 unidades;11;R$ 441,16
PED-1501;Circuito Impresso;Eletrônicos;Global Shipping;Atrasado;USD 462,61;336 unidades;25;R$ 691,24
PED-1502;Motor de Passo;Mecânica;Bahia Peças;Entregue;USD 142,88;125 unidades;15;R$ 545,59
PED-1503;Chapa de Aço;Metalurgia;Nordeste Distribuidora;Atrasado;USD 166,37;381 unidades;19;R$ 643,19
PED-1504;Sensor Prototipo;Eletrônicos;Norte Logística;Entregue;USD 415,0;137 unidades;12;R$ 498,82
PED-1505;Válvula Hidráulica;Mecânica;Sul Metais;Em trânsito;USD 102,7;174 unidades;11;R$ 459,0
PED-1506;Caixa Papelão;Embalagens;Global Shipping;Atrasado;USD 199,04;188 unidades;26;R$ 689,34
PED-1507;Chapa de Aço;Metalurgia;Bahia Peças;Entregue;USD 175,93;73 unidades;17;R$ 523,86
PED-1508;Válvula Hidráulica;Mecânica;Sul Metais;Entregue;USD 146,12;298 unidades;9;R$ 479,79
PED-1509;Válvula Hidráulica;Mecânica;Indústrias Alfa;Entregue;USD 112,02;121 unidades;14;R$ 557,01
PED-1510;Circuito Impresso;Eletrônicos;Amazonas Tech;Entregue;USD 556,3;297 unidades;50;R$ 915,96
PED-1511;Caixa Papelão;Embalagens;Delta Matérias-Primas;Em trânsito;USD 170,61;263 unidades;17;R$ 674,13
PED-1512;Cabo de Cobre;Metalurgia;Amazonas Tech;Atrasado;USD 251,8;215 unidades;50;R$ 857,64
PED-1513;Chapa de Aço;Metalurgia;Sudeste Express;Entregue;USD 162,9;384 unidades;13;R$ 531,26
PED-1514;Caixa Papelão;Embalagens;Amazonas Tech;Em trânsito;USD 228,8;29 unidades;39;R$ 929,8
PED-1515;Cabo de Cobre;Metalurgia;Norte Logística;Em trânsito;USD 156,27;94 unidades;16;R$ 572,75
PED-1516;Válvula Hidráulica;Mecânica;Delta Matérias-Primas;Atrasado;USD 139,86;477 unidades;20;R$ 541,01
PED-1517;Cabo de Cobre;Metalurgia;Delta Matérias-Primas;Atrasado;USD 151,84;212 unidades;17;R$ 589,4
PED-1518;Resina Epoxi;Química;Norte Logística;Em trânsito;USD 153,98;342 unidades;9;R$ 525,97
PED-1519;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Em trânsito;USD 458,75;216 unidades;15;R$ 619,01
PED-1520;Circuito Impresso;Eletrônicos;Bahia Peças;Atrasado;USD 411,05;119 unidades;21;R$ 506,28
PED-1521;Caixa Papelão;Embalagens;Sul Metais;Entregue;USD 137,86;319 unidades;11;R$ 446,87
PED-1522;Cabo de Cobre;Metalurgia;LogTech Brasil;Entregue;USD 105,32;381 unidades;4;R$ 474,7
PED-1523;Cabo de Cobre;Metalurgia;Sudeste Express;Atrasado;USD 154,38;277 unidades;14;R$ 490,25
PED-1524;Circuito Impresso;Eletrônicos;LogTech Brasil;Entregue;USD 409,93;172 unidades;5;R$ 349,32
PED-1525;Circuito Impresso;Eletrônicos;Sul Metais;Entregue;USD 354,68;228 unidades;16;R$ 469,31
PED-1526;Chapa de Aço;Metalurgia;Global Shipping;Entregue;USD 141,43;449 unidades;35;R$ 705,65
PED-1527;Circuito Impresso;Eletrônicos;Nordeste Distribuidora;Entregue;USD 480,85;306 unidades;16;R$ 575,05
PED-1528;Cabo de Cobre;Metalurgia;Sul Metais;Entregue;USD 122,37;263 unidades;13;R$ 567,06
PED-1529;Cabo de Cobre;Metalurgia;Indústrias Alfa;Atrasado;USD 127,67;255 unidades;15;R$ 569,67
PED-1530;Cabo de Cobre;Metalurgia;LogTech Brasil;Entregue;USD 157,95;177 unidades;4;R$ 406,33
